timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1587661841169,9568,HomePage,200,OK,User 1-2,text,true,,56009,113,20,20,http://lifecharger.org/,8334,0,288
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',User 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.MalformedURLException]]]

****** comparison: [[[200                                                   ]]]

/",862,0,20,20,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',User 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.MalformedURLException]]]

****** comparison: [[[200                                                   ]]]

/",862,0,20,20,null,0,0,0
1587661841169,10293,HomePage,200,OK,User 1-1,text,true,,56009,113,19,19,http://lifecharger.org/,9565,0,294
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',User 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.MalformedURLException]]]

****** comparison: [[[200                                                   ]]]

/",862,0,19,19,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',User 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.MalformedURLException]]]

****** comparison: [[[200                                                   ]]]

/",862,0,19,19,null,0,0,0
1587661841169,10819,HomePage,200,OK,User 1-3,text,true,,56023,113,18,18,http://lifecharger.org/,10233,0,287
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',User 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.MalformedURLException]]]

****** comparison: [[[200                                                   ]]]

/",862,0,18,18,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',User 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.MalformedURLException]]]

****** comparison: [[[200                                                   ]]]

/",862,0,18,18,null,0,0,0
1587661841217,10775,HomePage,200,OK,User 1-4,text,true,,56010,113,17,17,http://lifecharger.org/,10233,0,253
